url	title	h1	date	source	content_type	cluster	priority	status
https://solderpoint.ru/blog/kak-vyibrat-proizvoditelya-pechatnyix-plat-dlya-promyishlennogo-proekta	Как выбрать производителя печатных плат для промышленного проекта	Как выбрать производителя печатных плат для промышленного проекта	30-05-2026	solderpoint.ru	гайд / выбор	Производство / Поставщики	средний	собрано
https://solderpoint.ru/blog/chto-takoe-bga-komponentyi-i-pochemu-ix-montazh-slozhnee	Что такое BGA компоненты и почему их монтаж сложнее	Что такое BGA компоненты и почему их монтаж сложнее	28-05-2026	solderpoint.ru	обучающий / что такое	Типы компонентов / BGA	средний	собрано
https://solderpoint.ru/blog/kak-sokratit-sroki-proizvodstva-i-sborki-pechatnyix-plat	Как сократить сроки производства и сборки печатных плат	Как сократить сроки производства и сборки печатных плат	27-05-2026	solderpoint.ru	гайд / советы	Производство / Сроки	низкий	собрано
https://solderpoint.ru/blog/chem-otlichaetsya-prototipirovanie-ot-serijnogo-proizvodstva-elektroniki	Чем отличается прототипирование от серийного производства электроники	Чем отличается прототипирование от серийного производства	25-05-2026	solderpoint.ru	сравнение	Производство / Прототипы	средний	собрано
https://solderpoint.ru/blog/tipovyie-oshibki-pri-proektirovanii-pechatnyix-plat	Типовые ошибки при проектировании печатных плат под производство	Типовые ошибки при проектировании печатных плат	21-05-2026	solderpoint.ru	ошибки / топ N	Ошибки / Проектирование	высокий	собрано
https://solderpoint.ru/blog/chto-vliyaet-na-stoimost-montazha-pechatnyix-plat	Что влияет на стоимость монтажа печатных плат	Что влияет на стоимость монтажа печатных плат	18-05-2026	solderpoint.ru	обучающий / факторы	Производство / Стоимость	средний	собрано
https://solderpoint.ru/blog/kogda-nuzhen-ruchnoj-smd-montazh	Когда нужен ручной SMD монтаж, а когда автоматический	Когда нужен ручной SMD монтаж, а когда автоматический	12-05-2026	solderpoint.ru	сравнение / выбор	Типы монтажа / SMD	высокий	собрано
https://solderpoint.ru/blog/kak-vyibrat-mezhdu-smd-i-dip-montazhom	Как выбрать между SMD и DIP монтажом	Как выбрать между SMD и DIP монтажом	08-05-2026	solderpoint.ru	сравнение / выбор	Типы монтажа / SMD vs DIP	высокий	собрано
https://solderpoint.ru/blog/chto-takoe-bom-fajl-i-zachem-on-nuzhen-pri-sborke-plat	Что такое BOM файл и зачем он нужен при сборке плат	Что такое BOM файл и зачем он нужен при сборке плат	05-05-2026	solderpoint.ru	обучающий / что такое	Производство / Документация	средний	собрано
https://solderpoint.ru/blog/kak-podgotovit-gerber-fajlyi-dlya-montazha-pechatnyix-plat	Как подготовить Gerber файлы для монтажа печатных плат	Как подготовить Gerber файлы для монтажа печатных плат	01-05-2026	solderpoint.ru	инструкция / как	Производство / Документация	средний	собрано
https://solderpoint.ru/blog/montazh-alyuminievyh-plat-preimushestva	Монтаж алюминиевых плат	Монтаж алюминиевых плат	29-04-2026	solderpoint.ru	обучающий	Типы плат / Алюминиевые	низкий	собрано
https://solderpoint.ru/blog/montazh-dvustoronnih-plat	Монтаж двусторонних плат	Монтаж двусторонних плат	28-04-2026	solderpoint.ru	обучающий	Типы плат / Двусторонние	низкий	собрано
