#,рабочий заголовок,кластер,slug,тип статьи,приоритет,статус,перелинковка (исходящие ссылки и анкоры)
1,Как паять паяльником: пошаговый гайд для начинающих,Основы пайки / Как паять,kak-payat-payalnikom-dlya-nachinayuschih,гайд,🔴 Высокий,написано,-> #2 (/s-chego-nachat-pajku) [что купить новичку]; -> #15 (/pripoj-dlya-pajki-vidy) [выбор припоя ПОС-61]; -> #20 (/flyus-dlya-pajki-kakoj-vybrat) [применение флюса]; -> #25 (/oshibki-novichka-pri-pajke) [типичные ошибки новичков]
2,С чего начать пайку: что нужно новичку,Основы пайки / Как паять,s-chego-nachat-pajku,гайд,🔴 Высокий,готов к написанию,-> #1 (/kak-payat-payalnikom-dlya-nachinayuschih) [пошаговая техника пайки]; -> #6 (/kakoj-payalnik-vybrat) [как выбрать паяльник]; -> #47 (/nabor-instrumentov-dlya-nachinayuschih) [набор инструментов радиолюбителя]
3,Пайка проводов: как правильно соединить и изолировать,Основы пайки / Как паять,pajka-provodov-kak-soedinit,инструкция,🔴 Высокий,готов к написанию,-> #1 (/kak-payat-payalnikom-dlya-nachinayuschih) [базовый гайд по пайке]; -> #15 (/pripoj-dlya-pajki-vidy) [припой для медных жил]; -> #50 (/termousadka-posle-pajki) [изоляция термоусадкой]
4,Как научиться паять быстро и без брака,Основы пайки / Как паять,kak-nauchitsya-payat-bystro,гайд,🟡 Средний,готов к написанию,-> #1 (/kak-payat-payalnikom-dlya-nachinayuschih) [пошаговый алгоритм]; -> #25 (/oshibki-novichka-pri-pajke) [причины брака]; -> #42 (/kak-chistit-i-ludit-zhalo) [лужение жала]
5,Пайка для детей: безопасное обучение основам,Основы пайки / Как паять,pajka-dlya-detej-bezopasnost,гайд,🟢 Низкий,не начато,-> #8 (/moschnost-payalnika-dlya-zadach) [маломощный паяльник]; -> #43 (/tehnika-bezopasnosti-pri-pajke) [техника безопасности]
6,Какой паяльник выбрать: советы для новичка в 2026 году,Инструменты / Выбор паяльника,kakoj-payalnik-vybrat,buyer's guide,🔴 Высокий,готов к написанию,-> #7 (/payalnaya-stanciya-ili-payalnik) [паяльник или станция]; -> #8 (/moschnost-payalnika-dlya-zadach) [подбор мощности]; -> #11 (/luchshie-payalniki-dlya-doma) [ТОП паяльников 2026]; -> #54 (/smart-payalniki-type-c-obzor) [смарт-паяльники Type-C]
7,Паяльная станция или обычный паяльник: что выбрать,Инструменты / Выбор паяльника,payalnaya-stanciya-ili-payalnik,сравнение,🔴 Высокий,готов к написанию,-> #6 (/kakoj-payalnik-vybrat) [как выбрать паяльник]; -> #12 (/payalnye-stancii-do-5000) [бюджетные паяльные станции]; -> #33 (/termofen-dlya-pajki-vybor) [термофен для SMD]
8,Какая мощность паяльника нужна для разных задач,Инструменты / Выбор паяльника,moschnost-payalnika-dlya-zadach,гайд,🟡 Средний,готов к написанию,-> #6 (/kakoj-payalnik-vybrat) [выбор паяльника]; -> #29 (/peregrev-komponentov-pri-pajke) [защита деталей от перегрева]
9,"Беспроводной паяльник: плюсы, минусы, когда нужен",Инструменты / Выбор паяльника,besprovodnoj-payalnik,обзор,🟡 Средний,не начато,-> #6 (/kakoj-payalnik-vybrat) [сетевые паяльники]; -> #46 (/kak-organizovat-mesto-dlya-pajki) [пайка вне дома]
10,Паяльник для SMD: какой выбрать для мелких деталей,Инструменты / Выбор паяльника,payalnik-dlya-smd,buyer's guide,🟡 Средний,не начато,-> #6 (/kakoj-payalnik-vybrat) [критерии выбора паяльника]; -> #30 (/smd-pajka-svoimi-rukami) [ручная пайка SMD]; -> #41 (/zhalo-dlya-payalnika-tipy) [микрожала для SMD]
11,Лучшие паяльники для дома: ТОП-10 моделей 2026,Инструменты / Рейтинг паяльников,luchshie-payalniki-dlya-doma,рейтинг,🔴 Высокий,не начато,-> #6 (/kakoj-payalnik-vybrat) [параметры выбора]; -> #12 (/payalnye-stancii-do-5000) [станции до 5000 рублей]; -> #13 (/payalniki-t12-obzor) [паяльники T12]; -> #54 (/smart-payalniki-type-c-obzor) [смарт-паяльники Type-C]
12,Лучшие паяльные станции до 5000 рублей,Инструменты / Рейтинг паяльников,payalnye-stancii-do-5000,рейтинг,🟡 Средний,не начато,-> #11 (/luchshie-payalniki-dlya-doma) [общий рейтинг паяльников]; -> #7 (/payalnaya-stanciya-ili-payalnik) [станция или паяльник]
13,Обзор паяльников T12: что это и почему их выбирают,Инструменты / Рейтинг паяльников,payalniki-t12-obzor,обзор,🟡 Средний,не начато,-> #11 (/luchshie-payalniki-dlya-doma) [рейтинг домашних паяльников]; -> #41 (/zhalo-dlya-payalnika-tipy) [картриджи и жала T12]
14,Паяльники Hakko: обзор моделей и для чего подходят,Инструменты / Рейтинг паяльников,payalniki-hakko-obzor,обзор бренда,🟢 Низкий,не начато,-> #11 (/luchshie-payalniki-dlya-doma) [ТОП паяльников]; -> #41 (/zhalo-dlya-payalnika-tipy) [стандарты жал Hakko]
15,Припой для пайки: виды и как выбрать правильный,Материалы / Припои,pripoj-dlya-pajki-vidy,гайд,🔴 Высокий,не начато,-> #16 (/pos-61-i-pos-40-raznica) [сравнение ПОС-61 и ПОС-40]; -> #17 (/bessvincovyj-pripoj) [бессвинцовые припои]; -> #18 (/pripoj-s-flyusom-vnutri) [трубчатый припой с флюсом]; -> #52 (/payalnaya-pasta-ili-pripoj) [паяльная паста vs припой]
16,ПОС-61 и ПОС-40: в чём разница и что выбрать,Материалы / Припои,pos-61-i-pos-40-raznica,сравнение,🔴 Высокий,не начато,-> #15 (/pripoj-dlya-pajki-vidy) [все виды припоев]; -> #1 (/kak-payat-payalnikom-dlya-nachinayuschih) [пайка припоем ПОС-61]
17,"Бессвинцовый припой: плюсы, минусы, когда использовать",Материалы / Припои,bessvincovyj-pripoj,гайд,🟡 Средний,не начато,-> #15 (/pripoj-dlya-pajki-vidy) [классификация припоев]; -> #43 (/tehnika-bezopasnosti-pri-pajke) [безопасность при работе со свинцом]
18,Припой с флюсом внутри: что это и зачем нужен,Материалы / Припои,pripoj-s-flyusom-vnutri,обучающий,🟡 Средний,не начато,-> #15 (/pripoj-dlya-pajki-vidy) [марки припоев]; -> #20 (/flyus-dlya-pajki-kakoj-vybrat) [выбор флюса]
19,Какой диаметр припоя выбрать для разных работ,Материалы / Припои,diametr-pripoya-dlya-rabot,гайд,🟢 Низкий,не начато,-> #15 (/pripoj-dlya-pajki-vidy) [виды припоев]; -> #30 (/smd-pajka-svoimi-rukami) [припой для SMD]
20,Флюс для пайки: какой выбрать и как использовать,Материалы / Флюсы,flyus-dlya-pajki-kakoj-vybrat,гайд,🔴 Высокий,не начато,-> #21 (/kanifol-ili-zhidkij-flyus) [канифоль или жидкий флюс]; -> #22 (/aktivnyj-flyus-kak-smyt) [активный флюс]; -> #23 (/flyus-rma-i-ra-otlichiya) [маркировки RMA и RA]; -> #52 (/payalnaya-pasta-ili-pripoj) [флюс-гель и паста]
21,Канифоль или жидкий флюс: что лучше для новичка,Материалы / Флюсы,kanifol-ili-zhidkij-flyus,сравнение,🔴 Высокий,не начато,-> #20 (/flyus-dlya-pajki-kakoj-vybrat) [все виды флюсов]; -> #1 (/kak-payat-payalnikom-dlya-nachinayuschih) [нанесение флюса при пайке]
22,Активный флюс: когда использовать и как смыть остатки,Материалы / Флюсы,aktivnyj-flyus-kak-smyt,гайд,🟡 Средний,не начато,-> #20 (/flyus-dlya-pajki-kakoj-vybrat) [выбор нейтрального флюса]; -> #29 (/peregrev-komponentov-pri-pajke) [промывка платы от флюса]
